MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country, BudgetUSD , US_BoxOfficeUSD , Global_BoxOfficeUSD , Opening_Day_SalesUSD , One_Week_SalesUSD ,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor, Profit ,Profit%,Hit_Flop,Rating_Category
512,Statement event,Action,2025,27-01-2025,USA," $16,26,066.94 "," $27,63,776.20 "," $55,70,179.58 "," $6,13,180.00 "," $12,76,881.68 ",5.1,59,10166,5326,Troy Cochran,Matthew Simmons," $39,44,112.64 ",242.56%,Hit,Average
513,Exist run technology,Action,2003,25-12-2003,USA," $21,19,066.21 "," $24,61,815.27 "," $42,52,745.84 "," $2,96,461.49 "," $13,80,592.72 ",8.3,98,7172,648,Rachel Kirby,Meghan Mcintosh," $21,33,679.63 ",100.69%,Hit,Excellent Performance
514,Quality report,Action,1998,22-07-1998,China," $8,03,238.68 "," $11,82,594.68 "," $17,25,324.48 "," $2,16,607.37 "," $5,18,755.42 ",6.9,63,13700,404,Elizabeth Lane,Jeffrey Sharp," $9,22,085.80 ",114.80%,Hit,Good Performance
515,Base buy,Horror,1968,16-03-1968,UK," $25,38,648.83 "," $40,72,801.83 "," $83,69,878.99 "," $11,55,458.37 "," $17,43,202.05 ",7.1,60,3099,50,Megan Sharp,Kristin Cook," $58,31,230.16 ",229.70%,Hit,Good Performance
516,Society seat,Comedy,2019,24-11-2019,USA," $26,44,416.96 "," $67,05,173.61 "," $1,14,76,121.78 "," $15,68,616.28 "," $34,07,799.45 ",8.6,100,7495,113,Claudia Smith,Jamie Cunningham," $88,31,704.82 ",333.98%,Hit,Excellent Performance
517,Threat whom,Drama,2021,27-08-2021,Canada," $33,38,677.85 "," $59,59,237.76 "," $98,86,889.47 "," $9,47,462.55 "," $31,08,041.14 ",7.5,79,2784,3395,David Charles,Jimmy Smith," $65,48,211.62 ",196.13%,Hit,Good Performance
518,Table pressure,Drama,2005,10-08-2005,USA," $89,01,904.98 "," $97,68,648.35 "," $2,12,06,522.70 "," $16,22,107.04 "," $55,13,266.76 ",6.7,58,2568,154,David Perez,Ashley Gilmore," $1,23,04,617.72 ",138.22%,Hit,Good Performance
519,Forget thousand case,Action,1975,30-03-1975,India," $30,07,061.02 "," $25,48,611.06 "," $51,45,982.59 "," $3,07,667.85 "," $11,15,305.49 ",6.3,68,355,4864,Melanie Olson,Meghan Mcintosh," $21,38,921.57 ",71.13%,flop,Good Performance
520,Clearly trip painting,Romance,1969,28-09-1969,USA," $2,04,897.55 "," $1,18,933.93 "," $2,64,294.86 "," $23,823.12 "," $49,414.85 ",6.1,59,7302,50,Denise Horne,Christopher Green," $59,397.31 ",28.99%,flop,Good Performance
521,Probably election,Drama,2006,29-04-2006,USA," $11,54,823.92 "," $9,18,205.06 "," $21,39,339.78 "," $1,89,055.20 "," $5,34,314.65 ",7.5,69,666,50,Brandon Fuller,Melissa Melendez," $9,84,515.86 ",85.25%,flop,Good Performance
522,Threat,Romance,1985,25-03-1985,USA," $3,50,432.27 "," $9,22,821.76 "," $15,03,234.36 "," $2,50,604.75 "," $4,51,919.64 ",8.6,83,956,1717,William Walker,Peter Sanders," $11,52,802.09 ",328.97%,Hit,Excellent Performance
523,Collection design,Drama,2025,09-10-2025,USA," $2,23,21,734.58 "," $2,99,25,418.17 "," $5,47,42,992.80 "," $61,51,921.18 "," $1,69,06,458.32 ",5.8,55,9293,107,Benjamin Ray,Dennis Perry," $3,24,21,258.22 ",145.25%,Hit,Average
524,Couple,Comedy,2002,20-03-2002,USA," $25,64,729.96 "," $55,37,643.41 "," $83,21,591.21 "," $9,96,816.47 "," $28,73,298.20 ",5.9,45,2378,84,David Perez,Rodney Smith," $57,56,861.25 ",224.46%,Hit,Average
525,Use least article,Romance,1988,18-06-1988,USA," $4,30,638.36 "," $11,47,590.04 "," $18,25,093.30 "," $2,25,828.43 "," $5,25,312.49 ",8.6,76,5574,12915,Samantha Campbell,Alan Mullins," $13,94,454.94 ",323.81%,Hit,Excellent Performance
526,Finish,Action,2002,11-01-2002,USA," $20,48,439.76 "," $49,27,377.78 "," $89,65,668.61 "," $10,21,711.97 "," $26,25,645.26 ",6,55,3997,929,Brian Robinson,Nicholas Richards," $69,17,228.85 ",337.68%,Hit,Good Performance
527,Stock score significant,Action,2013,13-08-2013,USA," $16,40,396.67 "," $30,42,006.93 "," $59,95,079.43 "," $3,82,266.16 "," $12,57,766.09 ",6.6,55,1803,494,William Walker,Corey Johnson," $43,54,682.76 ",265.47%,Hit,Good Performance
528,Rise majority enter attack,Drama,2023,02-03-2023,USA," $8,61,65,984.05 "," $7,00,44,416.66 "," $13,44,65,861.10 "," $1,63,77,719.17 "," $3,92,18,430.24 ",6.3,68,288,50,Sharon Wilson,Rachel Howard," $4,82,99,877.05 ",56.05%,flop,Good Performance
529,More forward under,Action,1962,15-10-1962,USA," $1,82,488.71 "," $3,82,993.05 "," $8,40,581.04 "," $1,05,880.63 "," $2,18,311.09 ",5.1,39,3091,392,Donna Wagner,Seth Johnson," $6,58,092.33 ",360.62%,Hit,Average
530,Watch kitchen amount rate,Thriller,1971,04-06-1971,Japan," $8,37,611.24 "," $5,84,851.26 "," $8,37,611.24 "," $83,805.61 "," $3,24,917.27 ",9.4,77,4056,1927,Amanda Cantrell,Joshua Walker, $-   ,0.00%,Break_even,Excellent Performance
531,Politics lawyer,Drama,2020,11-10-2020,USA," $56,19,113.52 "," $1,20,46,968.11 "," $1,92,95,519.02 "," $16,30,139.32 "," $64,66,691.04 ",4.8,59,18206,4061,Amanda Montgomery,Christina Buchanan," $1,36,76,405.50 ",243.39%,Hit,Average
532,Agency force,Horror,2009,11-01-2009,USA," $51,80,857.83 "," $49,79,629.49 "," $1,03,61,838.05 "," $14,06,940.80 "," $20,23,678.77 ",5.4,40,141,50,Emily Miller,Donald Benson," $51,80,980.22 ",100.00%,Hit,Average
533,Foreign lose important interview,Thriller,1997,11-05-1997,USA," $51,63,088.61 "," $1,55,91,430.49 "," $2,28,62,752.40 "," $44,46,667.06 "," $64,41,327.01 ",8.3,90,9058,780,Chad Peters MD,Timothy James," $1,76,99,663.79 ",342.81%,Hit,Excellent Performance
534,Imagine brother,Drama,1965,21-12-1965,USA," $1,41,74,279.20 "," $3,51,92,904.99 "," $6,75,37,690.65 "," $95,28,384.27 "," $1,84,70,139.38 ",6.8,57,55014,434,Oscar Santos,Timothy George," $5,33,63,411.45 ",376.48%,Hit,Good Performance
535,Involve group,Comedy,2025,05-07-2025,France," $6,93,89,367.11 "," $16,31,95,264.90 "," $29,66,10,398.50 "," $3,18,92,696.78 "," $7,35,50,692.31 ",6.8,69,1213,50,Vanessa Fox,Ashley French," $22,72,21,031.39 ",327.46%,Hit,Good Performance
536,Laugh rest six,Romance,2011,10-03-2011,USA," $36,07,165.31 "," $50,67,609.11 "," $1,01,56,050.91 "," $11,13,919.02 "," $21,81,123.71 ",6.1,69,15133,98,David Morris,Dominique Aguirre," $65,48,885.60 ",181.55%,Hit,Good Performance
537,Team among,Comedy,1991,29-03-1991,USA," $12,89,427.09 "," $11,11,465.43 "," $27,57,656.74 "," $1,21,509.05 "," $6,49,469.54 ",5.7,69,9163,50,James Wright,Kimberly Johnson," $14,68,229.65 ",113.87%,Hit,Average
538,After positive,Comedy,1979,06-11-1979,USA," $5,67,19,487.12 "," $3,58,19,466.42 "," $5,67,19,487.12 "," $81,14,063.24 "," $2,02,61,528.22 ",8.9,100,195,594,Brenda Smith,Melissa Cain, $-   ,0.00%,Break_even,Excellent Performance
539,Mention six officer,Thriller,2009,24-10-2009,UK," $15,05,416.19 "," $26,98,410.05 "," $62,79,374.69 "," $6,80,702.57 "," $15,72,404.89 ",6.3,55,443,628,Dr. Michael Monroe,Jason Chavez," $47,73,958.50 ",317.12%,Hit,Good Performance
540,Worry set hot,Drama,1969,10-01-1969,USA," $52,01,078.42 "," $45,61,973.18 "," $70,59,362.22 "," $13,22,680.25 "," $22,77,894.89 ",9.8,100,519,1444,Jennifer Miller,Stephanie Moore," $18,58,283.80 ",35.73%,flop,Excellent Performance
541,Seat product,Action,1969,05-03-1969,China," $9,29,642.18 "," $19,23,240.82 "," $33,33,229.85 "," $2,85,492.97 "," $10,03,957.85 ",9.7,84,5659,3700,Kristina Moore,David Clark," $24,03,587.67 ",258.55%,Hit,Excellent Performance
542,North police,Romance,2005,10-04-2005,Germany," $2,63,614.85 "," $1,59,140.21 "," $2,63,614.85 "," $20,455.03 "," $81,954.27 ",7,67,703,2832,Sonya Clark,William Ramirez, $-   ,0.00%,Break_even,Good Performance
543,National,Action,2023,22-01-2023,USA," $19,47,925.64 "," $36,55,074.53 "," $80,97,797.74 "," $9,47,944.02 "," $21,01,883.77 ",6.4,52,1790,114,Lisa Atkins,Joshua Walker," $61,49,872.10 ",315.71%,Hit,Good Performance
544,Way able,Drama,1964,01-01-1964,USA," $1,21,60,296.30 "," $1,94,97,370.41 "," $4,35,84,334.13 "," $29,36,319.43 "," $1,03,66,008.61 ",8.5,71,4500,485,Francisco Ford,Sabrina Massey," $3,14,24,037.83 ",258.42%,Hit,Excellent Performance
545,Family now trouble financial,Thriller,1996,11-02-1996,UK," $23,34,582.19 "," $40,43,790.36 "," $93,13,771.92 "," $11,40,703.75 "," $20,32,308.78 ",5.3,47,392,3360,Bethany Rodriguez,Sarah Nelson," $69,79,189.73 ",298.95%,Hit,Average
546,Order,Comedy,1999,12-12-1999,USA," $26,12,750.85 "," $32,27,881.83 "," $56,59,172.25 "," $5,58,163.19 "," $16,89,675.44 ",5.7,65,34959,209,Jeremy Ray,Richard Davis," $30,46,421.40 ",116.60%,Hit,Average
547,Toward kitchen science,Comedy,1995,02-03-1995,USA," $4,52,01,608.15 "," $5,72,11,086.87 "," $12,48,62,023.60 "," $60,99,853.95 "," $3,26,64,320.85 ",8.9,100,25034,55,Caitlin Brewer,Robert Walker," $7,96,60,415.45 ",176.23%,Hit,Excellent Performance
548,Represent,Documentary,2018,09-08-2018,USA," $1,11,145.05 "," $1,98,298.83 "," $3,47,573.05 "," $25,019.88 "," $92,522.86 ",8.6,82,6440,200,Benjamin Ray,Dawn Blake," $2,36,428.00 ",212.72%,Hit,Excellent Performance
549,Nature should,Action,2001,15-05-2001,USA," $7,77,375.55 "," $23,31,112.21 "," $35,31,000.00 "," $4,13,678.52 "," $10,15,900.02 ",10,100,2811,8032,Amanda Montgomery,Sharon Riley," $27,53,624.45 ",354.22%,Hit,Excellent Performance
550,Child until political,Drama,1978,21-03-1978,Australia," $15,29,102.10 "," $10,24,307.54 "," $20,62,817.55 "," $1,57,304.85 "," $5,85,236.17 ",8.3,65,12533,225,Jonathan Evans,Olivia Ortiz," $5,33,715.45 ",34.90%,flop,Excellent Performance
551,Need morning suddenly effort,Romance,2001,15-09-2001,USA," $64,58,624.10 "," $1,76,33,213.13 "," $2,70,23,846.67 "," $47,94,894.63 "," $72,63,977.56 ",6,64,1126,757,Denise Horne,Sharon Brady," $2,05,65,222.57 ",318.41%,Hit,Good Performance
552,War base,Action,2018,08-03-2018,USA," $57,83,372.28 "," $1,56,46,863.63 "," $2,64,46,212.60 "," $21,72,584.22 "," $70,94,922.03 ",5.4,39,383,98,Joshua Morales,Douglas Bullock," $2,06,62,840.32 ",357.28%,Hit,Average
553,Mission civil care law,Action,2021,16-02-2021,USA," $25,96,022.38 "," $14,39,299.32 "," $25,96,022.38 "," $2,32,161.56 "," $6,59,264.88 ",5.8,49,1387,74,Mrs. Hannah Campbell DDS,Mrs. Stephanie Palmer, $-   ,0.00%,Break_even,Average
554,Activity information to,Comedy,1969,02-06-1969,India," $31,71,474.66 "," $65,77,479.53 "," $96,49,221.50 "," $12,81,166.64 "," $34,86,472.76 ",5.4,48,10740,2040,Terry Lawrence,William Brooks," $64,77,746.84 ",204.25%,Hit,Average
555,Understand chance run,Comedy,2020,09-11-2020,USA," $55,27,110.31 "," $53,28,145.58 "," $87,09,799.10 "," $15,45,619.52 "," $29,74,491.33 ",7.3,70,1780,50,Diana Davis,Robert Garcia," $31,82,688.79 ",57.58%,flop,Good Performance
556,Simple turn policy then,Sci-Fi,1979,04-09-1979,USA," $3,49,90,137.49 "," $6,75,46,372.03 "," $11,63,08,941.50 "," $1,33,70,904.58 "," $3,92,18,552.22 ",7,74,5893,1454,Brandon Fuller,David Martin," $8,13,18,804.01 ",232.40%,Hit,Good Performance
557,Agreement wrong,Drama,1968,28-09-1968,Australia," $31,51,423.74 "," $44,85,884.53 "," $95,93,627.85 "," $7,13,927.40 "," $25,60,996.36 ",5.3,52,2365,101,David Rosales,Brandon Mcguire," $64,42,204.11 ",204.42%,Hit,Average
558,Describe pull,Drama,1987,04-06-1987,USA," $4,32,335.99 "," $5,90,378.34 "," $10,60,438.42 "," $1,01,723.42 "," $2,86,529.06 ",5.1,42,1369,105,Caitlin Brewer,Catherine Willis," $6,28,102.43 ",145.28%,Hit,Average
559,Position arrive discuss,Documentary,1994,29-03-1994,USA," $24,69,597.15 "," $12,31,412.75 "," $29,87,502.63 "," $3,37,993.26 "," $5,00,112.93 ",5.5,63,4070,672,Benjamin Hudson,Adam Montes," $5,17,905.48 ",20.97%,flop,Average
560,Course now,Thriller,2022,16-09-2022,South Korea," $12,02,565.86 "," $22,63,004.35 "," $46,44,406.61 "," $4,09,359.38 "," $11,28,010.86 ",5.2,55,4056,554,Suzanne Gonzalez,Miss Jennifer Parsons," $34,41,840.75 ",286.21%,Hit,Average
561,Door design appear,Drama,1978,24-05-1978,France," $1,63,737.96 "," $3,44,114.97 "," $5,07,385.63 "," $83,044.16 "," $1,50,089.16 ",6.5,72,2824,218,Amanda Cantrell,Samuel Bond MD," $3,43,647.67 ",209.88%,Hit,Good Performance
562,Difficult candidate,Action,2023,04-03-2023,USA," $36,90,495.33 "," $48,28,211.76 "," $99,60,941.34 "," $8,04,247.61 "," $27,73,484.44 ",8.1,81,187,3616,Nathan Bolton,Rebecca Mejia," $62,70,446.01 ",169.91%,Hit,Excellent Performance
563,Rest,Horror,2001,08-07-2001,France," $3,01,65,385.76 "," $4,16,65,471.84 "," $8,05,87,106.46 "," $1,24,96,482.35 "," $2,23,87,207.77 ",3.7,44,1830,4462,Philip Simmons,John Perry," $5,04,21,720.70 ",167.15%,Hit,Average
564,Leg else,Sci-Fi,2025,04-12-2025,Canada," $2,19,174.69 "," $1,29,699.49 "," $2,90,706.74 "," $29,572.35 "," $58,088.08 ",6.5,70,12019,154,Sean Howard,Michelle Thomas," $71,532.05 ",32.64%,flop,Good Performance
565,Story at also region,Drama,1999,15-08-1999,India," $8,58,409.08 "," $23,81,201.45 "," $42,54,504.51 "," $2,79,329.67 "," $13,05,971.35 ",7,71,36874,2068,Janice Taylor,Robin Dawson," $33,96,095.43 ",395.63%,Hit,Good Performance
566,Common toward,Thriller,1985,21-09-1985,UK," $43,97,537.92 "," $54,81,982.18 "," $87,04,735.12 "," $12,08,938.02 "," $26,36,218.35 ",8.5,99,335,416,Darrell Carlson,Joseph Gonzalez," $43,07,197.20 ",97.95%,flop,Excellent Performance
567,Exist run technology,Thriller,1982,04-03-1982,India," $80,60,921.44 "," $1,61,79,465.97 "," $3,56,54,999.77 "," $45,22,246.95 "," $78,57,957.45 ",4.8,31,841,739,Ryan Tate,Christopher Green," $2,75,94,078.33 ",342.32%,Hit,Average
568,Necessary much,Sci-Fi,1973,10-06-1973,USA," $7,46,24,612.84 "," $3,89,53,930.00 "," $7,49,78,594.49 "," $44,96,723.78 "," $2,01,29,559.63 ",4.6,35,9428,963,Jennifer Atkinson,Jennifer Cook," $3,53,981.65 ",0.47%,flop,Average
569,Involve who,Documentary,2002,17-01-2002,USA," $21,81,000.93 "," $52,97,147.28 "," $83,94,386.26 "," $11,92,409.29 "," $28,51,509.79 ",6.9,65,1321,228,Michael Manning,Chad Santiago," $62,13,385.33 ",284.89%,Hit,Good Performance
570,Pretty administration,Thriller,1957,08-04-1957,USA," $8,36,361.35 "," $16,44,996.61 "," $36,82,544.59 "," $3,90,899.64 "," $7,67,555.76 ",7.7,66,3391,342,Darrell Carlson,Ryan Hood," $28,46,183.24 ",340.31%,Hit,Good Performance
571,Whose speech,Drama,2007,06-12-2007,USA," $22,08,157.72 "," $15,63,039.79 "," $32,45,377.59 "," $3,53,520.00 "," $7,69,977.52 ",6.8,75,269,281,Jeremy Ray,Kimberly Ray," $10,37,219.87 ",46.97%,flop,Good Performance
572,Show paper,Thriller,1998,10-06-1998,USA," $32,47,419.84 "," $29,19,371.03 "," $63,39,373.36 "," $7,20,010.26 "," $15,01,524.79 ",3.5,35,6367,149,William Carpenter,Eric Nelson," $30,91,953.52 ",95.21%,flop,Average
573,Throughout message,Romance,1990,16-08-1990,India," $24,77,172.80 "," $48,60,933.44 "," $1,03,36,200.25 "," $12,92,237.76 "," $20,12,203.81 ",6.8,89,4289,96,Joshua Baker,Gabriel Mathis," $78,59,027.45 ",317.26%,Hit,Good Performance
574,Off guy news,Thriller,2016,11-06-2016,USA," $13,29,744.06 "," $25,85,272.00 "," $62,05,364.51 "," $2,60,573.96 "," $13,65,003.34 ",6.5,77,11761,1956,Jennifer Miller,Mrs. Stephanie Palmer," $48,75,620.45 ",366.66%,Hit,Good Performance
575,Stage,Drama,2009,13-05-2009,USA," $8,11,22,949.35 "," $4,90,94,995.77 "," $11,81,70,759.50 "," $1,18,63,073.71 "," $2,38,96,177.95 ",5.4,49,692,5114,Alyssa Adams,Samantha Vargas," $3,70,47,810.15 ",45.67%,flop,Average
576,Point price central public,Action,2017,25-12-2017,USA," $9,91,502.47 "," $27,14,590.26 "," $43,28,909.80 "," $3,53,303.53 "," $14,68,260.94 ",5.8,56,1836,799,Kayla Young,Melissa Morales," $33,37,407.33 ",336.60%,Hit,Average
577,Benefit teacher,Drama,1993,31-03-1993,USA," $10,86,528.91 "," $15,91,691.77 "," $25,51,284.15 "," $2,52,025.89 "," $7,18,662.46 ",8.1,87,2356,35769,Kim Watkins,Eric Nelson," $14,64,755.24 ",134.81%,Hit,Excellent Performance
578,Day,Drama,1990,22-03-1990,USA," $22,10,109.31 "," $50,93,535.78 "," $75,82,609.18 "," $13,29,010.57 "," $21,59,989.36 ",7.2,59,30764,278,Bryan Murray,Jennifer Moore," $53,72,499.87 ",243.09%,Hit,Good Performance
579,Mr think full,Thriller,2023,29-03-2023,USA," $20,06,000.95 "," $32,92,940.68 "," $76,23,238.88 "," $9,31,013.94 "," $19,27,358.64 ",8.3,72,2290,858,Hannah Camacho,Brian Gentry," $56,17,237.93 ",280.02%,Hit,Excellent Performance
580,Surface game,Horror,2022,11-09-2022,USA," $17,45,307.20 "," $27,12,067.81 "," $66,63,301.86 "," $7,05,770.84 "," $12,59,304.99 ",6.2,59,57586,163,Tyler Sanchez,Tyler Cooper," $49,17,994.66 ",281.78%,Hit,Good Performance
581,Fire scientist,Drama,2022,18-08-2022,UK," $24,13,086.43 "," $39,73,188.78 "," $89,84,017.29 "," $4,72,556.32 "," $19,80,530.04 ",7.1,97,1687,210,Jennifer Henry,Sydney Jordan," $65,70,930.86 ",272.30%,Hit,Good Performance
582,Address cup,Romance,2016,11-06-2016,UK," $1,44,36,053.38 "," $2,94,25,687.90 "," $5,88,34,164.48 "," $84,41,450.50 "," $1,18,14,404.94 ",6.4,58,69898,18018,Joseph Willis,Jorge Kennedy," $4,43,98,111.10 ",307.55%,Hit,Good Performance
583,City outside,Comedy,2009,24-11-2009,USA," $9,94,506.87 "," $5,41,151.94 "," $12,66,102.81 "," $95,925.83 "," $2,25,218.61 ",7.1,71,10206,3589,Nathan Bolton,Jennifer Hall," $2,71,595.94 ",27.31%,flop,Good Performance
584,Use area many,Drama,2023,21-11-2023,USA," $49,86,615.53 "," $1,08,18,182.35 "," $2,20,01,432.77 "," $24,79,447.99 "," $56,83,582.02 ",5.5,69,22205,173,Melanie Olson,Mckenzie Perez," $1,70,14,817.24 ",341.21%,Hit,Average
585,Hand always,Comedy,2014,13-02-2014,USA," $40,52,703.98 "," $1,13,99,555.34 "," $1,71,49,552.53 "," $28,01,026.66 "," $50,20,310.83 ",6.5,60,743,165,James Wright,Amanda Rivas," $1,30,96,848.55 ",323.16%,Hit,Good Performance
586,Grow president,Romance,1980,07-06-1980,USA," $7,16,739.19 "," $10,30,051.18 "," $20,89,896.45 "," $1,30,804.33 "," $4,18,388.86 ",7.7,79,6610,239,Joshua Morales,Melissa Mcgee," $13,73,157.26 ",191.58%,Hit,Good Performance
587,Increase continue somebody,Action,2011,04-11-2011,USA," $1,96,48,975.13 "," $1,22,88,924.20 "," $2,97,78,444.38 "," $14,04,090.09 "," $51,00,806.02 ",6.2,72,11772,106,Dr. Michael Monroe,Kimberly Smith," $1,01,29,469.25 ",51.55%,flop,Good Performance
588,Model western,Drama,1984,21-05-1984,USA," $7,70,862.63 "," $14,75,169.46 "," $21,73,483.57 "," $1,74,135.93 "," $7,15,239.45 ",8.7,93,2277,208,Anthony Henry,Dominique Aguirre," $14,02,620.94 ",181.95%,Hit,Excellent Performance
589,Bank much,Comedy,2014,02-09-2014,USA," $19,91,278.27 "," $37,66,626.07 "," $72,29,323.75 "," $7,51,542.35 "," $15,89,668.51 ",6.6,62,626,50,Kayla Young,Melissa Lopez," $52,38,045.48 ",263.05%,Hit,Good Performance
590,Red budget nothing,Romance,1980,01-07-1980,India," $66,83,655.18 "," $53,39,486.25 "," $83,95,382.70 "," $10,94,126.98 "," $25,79,523.30 ",6.7,58,3347,3687,Elizabeth Lane,Mark Morris," $17,11,727.52 ",25.61%,flop,Good Performance
591,Floor recent,Romance,1977,21-04-1977,USA," $1,97,65,301.26 "," $3,42,41,087.31 "," $6,89,50,818.38 "," $1,00,16,804.31 "," $2,02,32,809.23 ",4.3,39,5697,971,Anthony Rowland,Monique Harris," $4,91,85,517.12 ",248.85%,Hit,Average
592,Involve produce,Documentary,2015,21-11-2015,USA," $20,72,383.10 "," $50,93,904.77 "," $79,13,856.42 "," $5,26,530.93 "," $28,28,050.11 ",7.6,79,831,100,Christopher Roach,Brenda Wheeler," $58,41,473.32 ",281.87%,Hit,Good Performance
593,Woman tax,Drama,1990,21-04-1990,Canada," $41,34,102.48 "," $41,60,023.62 "," $61,16,478.46 "," $11,78,080.33 "," $17,32,271.13 ",8.8,90,728,79,Rachel Hayes,Lynn Pierce," $19,82,375.98 ",47.95%,flop,Excellent Performance
594,Total enough company,Romance,2016,28-05-2016,USA," $3,25,95,388.58 "," $2,08,79,570.55 "," $3,25,95,388.58 "," $30,37,703.70 "," $1,07,57,755.57 ",6,71,1714,104,Carolyn Schwartz,Jessica Scott, $-   ,0.00%,Break_even,Good Performance
595,Garden prepare both,Drama,2002,18-07-2002,USA," $68,91,344.11 "," $1,15,77,640.73 "," $2,58,74,843.12 "," $28,35,204.08 "," $62,94,590.72 ",7.4,90,1062,149,Abigail Robles,Sandra Spears," $1,89,83,499.01 ",275.47%,Hit,Good Performance
596,Project,Drama,2020,08-08-2020,UK," $1,77,220.72 "," $3,76,174.42 "," $6,15,111.83 "," $66,556.16 "," $1,85,647.81 ",3.9,39,9041,50,Colleen Willis,Cody Peters," $4,37,891.11 ",247.09%,Hit,Average
597,Already mission,Horror,1972,21-03-1972,USA," $42,24,340.89 "," $99,40,701.32 "," $1,78,27,722.21 "," $26,70,470.13 "," $51,93,907.05 ",5.6,63,2626,824,Sean Howard,Veronica Mills," $1,36,03,381.32 ",322.02%,Hit,Average
598,Attorney trade environment,Drama,1997,09-11-1997,USA," $4,92,957.92 "," $3,50,987.22 "," $8,16,009.96 "," $36,367.18 "," $1,55,043.65 ",7.3,76,3936,643,Albert Phillips,Sierra Brooks," $3,23,052.04 ",65.53%,flop,Good Performance
599,Foot doctor under style,Horror,2018,07-02-2018,USA," $79,15,071.02 "," $1,64,06,287.59 "," $3,03,19,805.53 "," $27,15,158.90 "," $82,82,544.46 ",4.5,58,2449,237,Melissa Cohen,Eric Obrien," $2,24,04,734.51 ",283.06%,Hit,Average
600,Director you,Sci-Fi,2001,25-07-2001,USA," $48,11,472.83 "," $91,41,396.29 "," $1,83,57,456.88 "," $19,69,729.76 "," $40,99,059.91 ",8.5,80,37867,1533,Daniel Brown,Christopher Patterson," $1,35,45,984.05 ",281.54%,Hit,Excellent Performance
601,Floor place,Horror,1986,24-04-1986,USA," $1,00,000.00 "," $2,43,686.44 "," $4,42,312.10 "," $51,695.75 "," $1,17,009.54 ",9.5,94,807,8376,Seth Whitehead,Mark Morris," $3,42,312.10 ",342.31%,Hit,Excellent Performance
602,Local medical recent,Action,2018,07-02-2018,USA," $12,00,605.13 "," $13,43,561.80 "," $24,01,219.54 "," $2,94,899.76 "," $7,86,063.67 ",5.5,60,438,501,Chad Peters MD,Dennis Perry," $12,00,614.41 ",100.00%,Hit,Average
603,Look fire scene,Comedy,2022,29-11-2022,USA," $1,93,87,082.30 "," $3,28,19,180.26 "," $7,19,83,899.12 "," $37,79,466.45 "," $1,94,49,989.19 ",5.7,63,7116,4269,Kayla Young,Heather Williams," $5,25,96,816.82 ",271.30%,Hit,Average
604,Federal why boy,Thriller,2000,04-07-2000,USA," $1,58,42,631.87 "," $71,24,496.90 "," $1,58,42,631.87 "," $9,97,995.87 "," $36,53,655.45 ",6.4,73,64025,2624,Brandon Fuller,Alexandra Benitez, $-   ,0.00%,Break_even,Good Performance
605,Second candidate education newspaper,Drama,1964,15-10-1964,USA," $83,50,738.62 "," $44,01,858.84 "," $83,50,738.62 "," $10,47,290.82 "," $26,27,525.83 ",10,87,4439,7592,Amber Anderson,Sheila Dunn, $-   ,0.00%,Break_even,Excellent Performance
606,When,Comedy,1995,20-12-1995,USA," $11,04,858.66 "," $14,63,409.66 "," $29,31,397.83 "," $3,69,344.22 "," $7,81,659.84 ",7.3,58,2376,1136,Judy Walker,Holly Jones," $18,26,539.17 ",165.32%,Hit,Good Performance
607,Officer child phone,Drama,1998,17-01-1998,USA," $1,14,64,511.15 "," $2,04,56,280.63 "," $4,26,10,391.46 "," $21,54,095.40 "," $84,09,601.09 ",5.2,45,8628,4442,Chad Koch,Lorraine White DDS," $3,11,45,880.31 ",271.67%,Hit,Average
608,Social election once,Horror,1991,23-03-1991,USA," $68,00,848.35 "," $71,27,326.11 "," $1,64,35,641.89 "," $10,20,473.22 "," $37,82,770.88 ",6.8,63,901,50,Jeremy Ray,Joshua Walker," $96,34,793.54 ",141.67%,Hit,Good Performance
609,These economy collection success,Action,1975,22-10-1975,USA," $6,58,505.72 "," $6,21,425.59 "," $9,96,612.88 "," $86,092.48 "," $3,04,125.88 ",6,63,15599,50,Karen Smith,Jimmy Miller," $3,38,107.16 ",51.34%,flop,Good Performance
610,Drive everything,Romance,2013,25-09-2013,France," $35,85,503.59 "," $21,95,152.35 "," $54,67,524.29 "," $2,62,974.26 "," $10,09,944.78 ",4.6,45,4142,85,Faith Franklin,Kathryn Stevenson," $18,82,020.70 ",52.49%,flop,Average
611,See agency,Drama,1999,22-12-1999,USA," $1,07,05,250.09 "," $3,05,42,328.80 "," $4,98,79,710.64 "," $35,75,282.11 "," $1,27,86,265.05 ",7.3,56,15590,50,Jonathan Evans,Stephanie Moore," $3,91,74,460.55 ",365.94%,Hit,Good Performance
612,Among development force,Comedy,2016,04-06-2016,USA," $3,14,42,411.89 "," $4,08,17,830.68 "," $8,47,35,099.90 "," $72,97,562.30 "," $1,70,49,712.33 ",7.8,81,11700,50,Patricia Munoz,Monique Harris," $5,32,92,688.01 ",169.49%,Hit,Good Performance
613,Still thus,Horror,1962,22-07-1962,USA," $31,41,411.43 "," $19,61,955.80 "," $31,41,411.43 "," $4,15,842.21 "," $11,34,808.95 ",7.4,70,509,1249,Christopher Roach,Pamela Lopez, $-   ,0.00%,Break_even,Good Performance
